"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter","P1","P2","Experimenter 2",
00:00:00.920,00:00:11.995,00:00:11.075,,,,,,,,,"yeah why don't I I can just do it with the mouse real quick",,,,
00:00:11.995,00:00:12.404,00:00:00.409,,,,,,,,,"all right",,,,
00:00:13.751,00:00:16.754,00:00:03.003,,,,,,,,,"pause filler so let me show my stopwatch here's (inaudible)",,,,
00:00:16.754,00:00:17.513,00:00:00.759,,,,,,,,,,"okay yup",,,
00:00:17.513,00:00:32.928,00:00:15.415,,,,,,,,,"(inaudible) a little bit more",,,,
00:00:32.928,00:00:37.328,00:00:04.400,,,,,,,,,"okay pause filler so I need to go check the server again before we actually start",,,,
00:00:37.328,00:00:38.285,00:00:00.957,,,,,,,,,"so I'm going to take this",,,,
00:00:38.285,00:00:51.266,00:00:12.981,,,,,,,,,"and feel free to hang out for a few minutes while I go show my stopwatch to the other room and then I'll come back (inaudible) for the camera",,,,
00:00:51.266,00:00:52.114,00:00:00.848,,,,,,,,,,"okay okay",,,
00:00:52.194,00:00:54.618,00:00:02.424,,,,,,,,,"pause filler but I will be back",,,,
00:00:55.476,00:00:55.885,00:00:00.409,,,,,,,,,,"okay",,,
00:00:58.170,00:01:07.000,00:00:08.830,,,,,,,,,"I'm also minimize Chrome for you",,,,
00:01:07.280,00:01:49.144,00:00:41.864,,,,,,,,,"before you go down again I'll show my stopwatch unless you hear me too",,,,
00:02:00.818,00:02:01.047,00:00:00.229,,,,,,,,,,"okay",,,
00:02:01.287,00:02:02.993,00:00:01.706,,,,,,,,,"all right",,,,
00:02:02.993,00:02:55.065,00:00:52.072,,,,,,,,,"all right do you hear each other in your headphones",,,,
00:02:55.204,00:02:55.514,00:00:00.310,,,,,,,,,,"that�s okay",,,
00:02:58.527,00:07:02.871,00:04:04.344,,,,,,,,,"and pause filler if you want we can turn the volume up again on the headphone",,,,
00:07:02.871,00:07:07.261,00:00:04.390,,,,,,,,,"so you could not wear them and still hear it",,,,
00:07:07.261,00:07:08.688,00:00:01.427,,,,,,,,,"pause filler so we're going to go back to (inaudible)",,,,
00:07:08.788,00:07:10.285,00:00:01.497,,,,,,,,,"can you guys hear each other",,,,
00:07:10.285,00:07:10.504,00:00:00.219,,,,,,,,,,,"mm-hmm I can hear",,
00:07:10.584,00:07:10.963,00:00:00.379,,,,,,,,,"okay cool",,,,
00:07:10.963,00:07:19.035,00:00:08.072,,,,,,,,,"do you want to the volume up or do you like how it is",,,,
00:07:19.035,00:07:19.224,00:00:00.189,,,,,,,,,,,"yeah",,
00:07:19.224,00:07:26.877,00:00:07.653,,,,,,,,,"so we're going to make sure that I have it open",,,,
00:07:27.037,00:07:33.542,00:00:06.505,,,,,,,,,"and you can go ahead and get started as soon as I leave",,,,
00:07:35.118,00:07:35.288,00:00:00.170,,,,,,,,,,"okay",,,
00:07:36.345,00:07:36.535,00:00:00.190,,,,,,,,,"pause filler okay",,,,
00:07:36.575,00:07:40.556,00:00:03.981,,,,,,,,,,,,"if you have any problems",
00:07:40.626,00:07:42.441,00:00:01.815,,,,,,,,,"all right so okay pause filler",,,,
00:07:42.441,00:07:43.499,00:00:01.058,,,,,,,,,,,,"questions are up there",
00:07:43.499,00:07:45.983,00:00:02.484,,,,,,,,,"thank you so much for your patience",,,,
00:07:46.193,00:07:48.647,00:00:02.454,,,,,,,,,"you have twenty minutes",,,,
00:07:48.667,00:07:49.096,00:00:00.429,,,,,,,,,,,,"We have (inaudible)",
00:07:49.096,00:07:50.922,00:00:01.826,,,,,,,,,"I'll cover as you said to",,,,
00:07:50.922,00:07:55.572,00:00:04.650,,,,,,,,,"make sure you're not solving the problems yourself",,,,
00:07:56.639,00:08:19.767,00:00:23.128,,,,,,,,,"no pressure if you don�t get through them at all",,,,
00:08:19.946,00:08:20.046,00:00:00.100,,,,,,,,,,"okay",,,
00:08:20.565,00:08:21.792,00:00:01.227,,,,,,,,,"pause filler here you go",,,,
00:08:21.792,00:08:23.718,00:00:01.926,,,,,,,,,"and I'll give you a pencil here you go",,,,
00:08:23.748,00:08:24.636,00:00:00.888,,,,,,,,,,"okay then so",,,
00:08:24.735,00:08:27.539,00:00:02.804,,,,,,,,,,"pause filler okay yeah",,,
00:08:28.676,00:08:30.961,00:00:02.285,,,,,,,,,,"pause filler you would divide by three sevenths",,,
00:08:31.071,00:08:35.371,00:00:04.300,,,,,,,,,"I'll lower your camera a little bit",,,,
00:08:36.030,00:08:42.535,00:00:06.505,,,,,,,,,,,"pause filler multiply by seven-thirds",,
00:08:43.692,00:08:46.007,00:00:02.315,,,,,,,,,,"yeah so multiply by the seven thirds",,,
00:08:46.007,00:08:49.010,00:00:03.003,,,,,,,,,,"pause filler divide by three sevenths",,,
00:08:50.517,00:08:55.476,00:00:04.959,,,,,,,,,,"pause filler forty so x equals forty times seven thirds",,,
00:08:55.476,00:09:01.193,00:00:05.717,,,,,,,,,,"pause filler forty times seven is pause filler two hundred eighty",,,
00:09:01.193,00:09:02.300,00:00:01.107,,,,,,,,,,"divided by three",,,
00:09:03.398,00:09:04.565,00:00:01.167,,,,,,,,,,"two hundred eighty thirds",,,
00:09:15.081,00:09:16.089,00:00:01.008,,,,,,,,,,,"yeah that�s right",,
00:09:16.368,00:09:22.374,00:00:06.006,,,,,,,,,,"yeah fourteen equals",,,
00:09:22.374,00:09:22.464,00:00:00.090,,,,,,,,,,"okay",,,
00:09:22.464,00:09:27.652,00:00:05.188,,,,,,,,,,"times eight thirds",,,
00:09:28.939,00:09:32.531,00:00:03.592,,,,,,,,,,"times eight thirds",,,
00:09:34.217,00:09:37.909,00:00:03.692,,,,,,,,,,"okay pause filler fourteen times eight is eighty",,,
00:09:37.909,00:09:40.872,00:00:02.963,,,,,,,,,,"plus thirty-two",,,
00:09:40.872,00:09:44.245,00:00:03.373,,,,,,,,,,"so a hundred twelve",,,
00:09:44.424,00:09:44.624,00:00:00.200,,,,,,,,,,,"yeah",,
00:09:44.624,00:09:44.724,00:00:00.100,,,,,,,,,,"okay",,,
00:09:45.083,00:09:50.720,00:00:05.637,,,,,,,,,,"and twelve thirds equals okay",,,
00:09:50.720,00:09:58.452,00:00:07.732,,,,,,,,,,"all right",,,
00:09:59.241,00:10:00.817,00:00:01.576,,,,,,,,,,"negative two-thirds",,,
00:10:01.805,00:10:10.445,00:00:08.640,,,,,,,,,,"pause filler you add eighteen you add eighteen",,,
00:10:10.445,00:10:15.314,00:00:04.869,,,,,,,,,,"you get sixty seventy",,,
00:10:17.858,00:10:18.956,00:00:01.098,,,,,,,,,,"pause filler and now you have two thirds",,,
00:10:18.956,00:10:24.493,00:00:05.537,,,,,,,,,,"so times y equals negative one",,,
00:10:29.133,00:10:29.262,00:00:00.129,,,,,,,,,,,"that�s good",,
00:10:29.392,00:10:32.655,00:00:03.263,,,,,,,,,,"(inaudible) fifty-seven",,,
00:10:36.895,00:11:12.474,00:00:35.579,,,,,,,,,,"pause filler yeah I think it's a hundred and fourteen",,,
00:11:16.066,00:11:16.355,00:00:00.289,,,,,,,,,,,"yeah",,
00:11:17.024,00:11:26.732,00:00:09.708,,,,,,,,,,"okay thirty-one equals",,,
00:11:27.201,00:11:27.909,00:00:00.708,,,,,,,,,,"pause filler add sixteen",,,
00:11:27.909,00:11:30.892,00:00:02.983,,,,,,,,,,"you got forty fourty seven",,,
00:11:40.341,00:11:41.219,00:00:00.878,,,,,,,,,,"multiply it by two",,,
00:11:41.219,00:11:42.077,00:00:00.858,,,,,,,,,,"you get eighty",,,
00:11:46.168,00:11:47.095,00:00:00.927,,,,,,,,,,"no you don't get eighty",,,
00:11:47.095,00:11:49.061,00:00:01.966,,,,,,,,,,"you got ninety-four",,,
00:11:51.635,00:11:53.012,00:00:01.377,,,,,,,,,,"there we go",,,
00:11:53.112,00:11:54.319,00:00:01.207,,,,,,,,"UL",,,"that�s good",,
