"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter","Experimenter 2","P2","P1",
00:24:05.747,00:24:06.984,00:00:01.237,,,,,,,,,,,,"no it's just plus",
00:24:08.610,00:24:12.142,00:00:03.532,,,,,,,,,,,,"so you just get forty-three over three x",
00:24:13.379,00:24:14.018,00:00:00.639,,,,,,,,,,,"that's the answer",,
00:24:14.816,00:24:27.787,00:00:12.971,,,,,,,,,,,,"and also you have negative one hundred equals forty-three over three x",
00:24:29.862,00:24:40.627,00:00:10.765,,,,,,,,,,,,"and then you multiply it at this I mean you divide this by forty-three over three",
00:24:40.627,00:24:43.381,00:00:02.754,,,,,,,,,,,,"and you have negative one hundred",
00:24:43.511,00:24:46.454,00:00:02.943,,,,,,,,,,,,"and that's negative one hundred I promise",
00:24:46.504,00:24:47.362,00:00:00.858,,,"SV",,"SV1A",,,,,,,"oh Jesus",
00:24:48.220,00:24:49.727,00:00:01.507,,,"SV",,"SV1A",,,,,,,"is it possible to write with these",
00:24:52.989,00:25:03.635,00:00:10.646,,,,,,,,,,,,"so one hundred times that's times three over",
00:25:04.284,00:25:05.720,00:00:01.436,,,,"SV",,"SV1A",,,,,"they're coming to you right now",,
00:25:05.720,00:25:06.020,00:00:00.300,,,"SV",,"SV1A",,,,,,,"okay",
00:25:06.179,00:25:08.384,00:00:02.205,,,,,,,,,,"all right it's time",,,
00:25:09.741,00:25:10.899,00:00:01.158,,,,,,,,,,,,"time",
00:25:11.427,00:25:11.727,00:00:00.300,,,,,,,,,,"yup",,,
00:25:11.866,00:25:12.206,00:00:00.340,,,,,,,,,,,,"okay",
00:25:12.206,00:25:13.662,00:00:01.456,,,,,,,,,,"you guys can save the nine",,,
00:25:14.620,00:25:32.689,00:00:18.069,,,,,,,,,,"yeah with this thing equipped things will the stop",,,
00:25:33.068,00:25:33.178,00:00:00.110,,,,,,,,,,,,"okay",
00:25:35.203,00:25:37.518,00:00:02.315,,,,,,,,,,"do you have a scrap paper Michael",,,
00:25:37.518,00:25:41.030,00:00:03.512,,,,,,,,,,,,"pause filler to the other room",
00:25:41.529,00:25:45.979,00:00:04.450,,,,,,,,,,"I think Joey mentioned like you could use scrap paper",,,
00:25:45.979,00:25:46.897,00:00:00.918,,,,,,,,,"no",,,,
00:25:46.897,00:25:48.214,00:00:01.317,,,,,,,,,"keep it to the whiteboard",,,,
00:25:48.214,00:25:53.322,00:00:05.108,,,,,,,,,,"okay yeah sorry I know that it happens",,,
00:25:54.300,00:25:55.896,00:00:01.596,,,,,,,,,,,,"I'm just really bad at drawings",
00:25:58.041,00:26:01.454,00:00:03.413,,,,,,,,,,"it's okay buddy",,,
00:26:05.315,00:26:10.214,00:00:04.899,,,,,,,,,,"okay pause filler cool let me (inaudible) it's kind of that",,,
00:26:10.613,00:26:11.471,00:00:00.858,,,,,,,,,"no keep going keep going",,,,
00:26:11.621,00:26:18.335,00:00:06.714,,,,,,,,,,"okay okay it's like this last time",,,
