"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","P1","P2",
00:00:59.300,00:00:59.500,00:00:00.200,,,,,,,,,,,"no",,
00:00:59.700,00:01:05.800,00:00:06.100,,,,,,,,,,,,"did you get the paper did you understand it",
00:01:05.800,00:01:07.300,00:00:01.500,,,,,,,,,,,"no I didn't",,
00:01:07.800,00:01:10.000,00:00:02.200,,,,,,,,,,,,"like I kind of get it",
00:01:10.000,00:01:16.300,00:00:06.300,,,,,,,,,,,,"but like the fraction is like sort of (inaudible) but like yeah (sfx)",
00:01:17.400,00:01:24.000,00:00:06.600,,,,,,,,,,,,"I wonder if we get Skittles again",
00:01:24.000,00:01:31.200,00:00:07.200,,,,,,,,,,,"have you had the sour pond",,
00:01:31.800,00:01:35.500,00:00:03.700,,,,,,,,,,,,"yeah yeah those are good",
00:01:35.500,00:01:36.700,00:00:01.200,,,,,,,,,,,,"those are like real sour",
00:01:36.700,00:01:39.100,00:00:02.400,,,,,,,,,,,,"but they're good",
00:01:42.000,00:01:49.500,00:00:07.500,,,,,,,,,,,"one thing I know is this is going to be very complicating",,
00:01:50.800,00:01:56.300,00:00:05.500,,,,,,,,,,,,"yeah because you have the packet right",
00:01:57.900,00:02:04.500,00:00:06.600,,,,,,,,,,,,"yeah those are like the best like flute",
00:02:04.500,00:02:16.300,00:00:11.800,,,,,,,,,,,"I wonder what it would be like with Donald Trump running the country",,
00:02:19.000,00:02:20.900,00:00:01.900,,,,,,,,,,,,"I would move",
00:02:20.900,00:02:25.800,00:00:04.900,,,,,,,,,,,"yeah but I mean like other people have to stay to like make things right",,
00:02:26.400,00:02:32.200,00:00:05.800,,,,,,,,,,,"like I actually asked my parents my mom like are we going to move if Donald Trump becomes president",,
00:02:32.200,00:02:34.600,00:00:02.400,,,,,,,,,,,"and she's like no yeah where are we going to stay",,
00:02:34.600,00:02:36.700,00:00:02.100,,,,,,,,,,,"because this is our country",,
00:02:36.700,00:02:39.400,00:00:02.700,,,,,,,,,,,"and like yeah so",,
00:02:39.500,00:02:43.600,00:00:04.100,,,,,,,,,,,,"yeah my friend she said she asked her mom",
00:02:43.600,00:02:45.900,00:00:02.300,,,,,,,,,,,,"she's like would we move if Donald Trump becomes president",
00:02:45.900,00:02:48.900,00:00:03.000,,,,,,,,,,,,"and her mom like since she has family that lived overseas",
00:02:48.900,00:02:51.700,00:00:02.800,,,,,,,,,,,,"her mom is like we would be moving all the way back to France",
00:02:51.700,00:02:54.500,00:00:02.800,,,,,,,,,,,,"like she was not joking",
00:02:54.500,00:02:57.600,00:00:03.100,,,,,,,,,,,,"but isn't he the only like pause filler candidate guy",
00:02:57.800,00:03:01.000,00:00:03.200,,,,,,,,,,,,"because didn't Ted Cruz dropped out or something",
00:03:01.200,00:03:03.700,00:00:02.500,,,,,,,,,,,,"and now it's just Donald Trump for the republican side",
00:03:03.700,00:03:05.500,00:00:01.800,,,,,,,,,,,,"like she's going to like",
00:03:06.200,00:03:07.800,00:00:01.600,,,,,,,,,,,,"yeah I don't know",
00:03:07.800,00:03:09.800,00:00:02.000,,,,,,,,,,,,"I'm not that much into politics",
00:03:09.800,00:03:11.300,00:00:01.500,,,,,,,,,,,,"but I did hear that Ted Cruz",
00:03:11.400,00:03:15.600,00:00:04.200,,,,,,,,,,,"yeah I think Ted Cruz actually did dropped out",,
00:03:15.800,00:03:22.700,00:00:06.900,,,,,,,,,,,"but I mean like Hilary might become president and like that other old guy",,
00:03:22.700,00:03:23.400,00:00:00.700,,,,,,,,,,,,"Bernie",
00:03:23.700,00:03:24.900,00:00:01.200,,,,,,,,,,,"yeah that person (laughter)",,
00:03:25.000,00:03:26.800,00:00:01.800,,,,,,,,,,,,"it's confusing",
00:03:28.300,00:03:33.100,00:00:04.800,,,,,,,,,,,,"as long as Donald Trump isn't president",
00:03:33.700,00:03:34.400,00:00:00.700,,,,,,,,,,,"yeah",,
00:03:35.900,00:03:36.400,00:00:00.500,,,,,,,,,,,,"I'm okay",
00:03:36.500,00:03:46.200,00:00:09.700,,,,,,,,,,,,"well and yeah",
00:03:51.500,00:03:56.900,00:00:05.400,,,,,,,,,,,,"there's like all these little like buttons here on the side of the tablet thing",
00:03:57.000,00:03:58.700,00:00:01.700,,,,,,,,,,,"yeah I was actually looking at that",,
00:03:59.100,00:04:01.700,00:00:02.600,,,,,,,,,,,,"it's like complicated",
00:04:01.700,00:04:04.300,00:00:02.600,,,,,,,,,,,,"I don't want to touch any of them because I'd probably mess them up so",
00:04:04.300,00:04:11.300,00:00:07.000,,,,,,,,,,,"what team do you play for",,
00:04:12.000,00:04:15.600,00:00:03.600,,,,,,,,,,,,"pause filler I just play for my school",
00:04:15.700,00:04:17.800,00:00:02.100,,,,,,,,,,,,"I play for CAPA yeah",
00:04:19.300,00:04:19.600,00:00:00.300,,,,,,,,,,,"cool",,
00:04:21.200,00:04:23.500,00:00:02.300,,,,,,,,,,,,"where do you go again",
00:04:23.600,00:04:23.800,00:00:00.200,,,,,,,,,,,,"oh PUCS",
00:04:23.800,00:04:28.600,00:00:04.800,,,,,,,,,,,,"is that a middle school",
00:04:28.800,00:04:29.400,00:00:00.600,,,,,,,,,,,,"wait is that like",
00:04:29.900,00:04:31.100,00:00:01.200,,,,,,,,,,,"well it's k through eight",,
00:04:34.800,00:04:35.300,00:00:00.500,,,,,,,,,,,,"pause filler yeah",
00:04:38.900,00:04:43.500,00:00:04.600,,,,,,,,,,,,"you're in seventh grade",
00:04:43.500,00:04:46.000,00:00:02.500,,,,,,,,,,,,"same",
00:04:46.000,00:04:50.600,00:00:04.600,,,,,,,,,,,,"oh this mechanical pencil is I like mechanical pencils",
00:04:50.600,00:04:54.100,00:00:03.500,,,,,,,,,,,,"but the lead always breaks like when you use it",
00:04:54.100,00:04:56.300,00:00:02.200,,,,,,,,,,,,"because the lead always break",
00:04:56.600,00:04:57.700,00:00:01.100,,,,,,,,,,,"it's really annoying",,
00:04:58.400,00:05:01.100,00:00:02.700,,,,,,,,,,,,"yeah because the leads always really thin and just like snaps",
00:05:01.300,00:05:04.000,00:00:02.700,,,,,,,,,,,,"and it's like very",
00:05:04.500,00:05:29.000,00:00:24.500,,,,,,,,,,,"did you know that they're videotaping this",,
00:05:29.000,00:05:29.900,00:00:00.900,,,,,,,,,,,"pause filler PUCS",,
00:05:32.100,00:05:32.700,00:00:00.600,,,,,,,,,,,,"yeah did you (laughter)",
00:05:32.700,00:05:33.000,00:00:00.300,,,,,,,,,,,,"oh okay",
00:05:33.000,00:05:39.000,00:00:06.000,,,,,,,,,,"okay cool everything is working",,,
00:05:39.000,00:05:40.700,00:00:01.700,,,,,,,,,,"we're all good to go",,,
00:05:40.700,00:05:41.700,00:00:01.000,,,,,,,,,,"server is really good",,,
00:05:41.700,00:05:44.400,00:00:02.700,,,,,,,,,,"so yep pause filler you can go ahead and get started pause filler",,,
00:05:44.400,00:05:45.500,00:00:01.100,,,,,,,,,,"you have twenty-five minutes",,,
00:05:45.500,00:05:46.400,00:00:00.900,,,,,,,,,,"no pressure if you can't through all",,,
00:05:46.600,00:05:47.900,00:00:01.300,,,,,,,,,,"and good luck",,,
00:05:47.900,00:05:49.800,00:00:01.900,,,,,,,,,"so we're going to get started right now",,,,
00:05:49.800,00:05:50.800,00:00:01.000,,,,,,,,,"and you're going to tutor her and (inaudible) the time",,,,
00:05:50.800,00:05:53.100,00:00:02.300,,,,,,,,,"so once again no pressure if you can't get through all the problems",,,,
00:05:53.100,00:05:56.000,00:00:02.900,,,,,,,,,"just try to work through as many as you can",,,,
00:05:56.100,00:06:01.400,00:00:05.300,,,,,,,,,"and if you finish all of the ones that are on there",,,,
00:06:02.000,00:06:03.600,00:00:01.600,,,,,,,,,"you can just let us know",,,,
00:06:03.600,00:06:08.900,00:00:05.300,,,,,,,,,"and we write it on the corner if you have door",,,,
00:06:08.900,00:06:09.300,00:00:00.400,,,,,,,,,"so all right",,,,
00:06:09.500,00:06:11.200,00:00:01.700,,,,,,,,,,,,"wait can I just use this mouse",
00:06:12.400,00:06:14.000,00:00:01.600,,,,,,,,,"you can but isn't the stylus so fun",,,,
00:06:14.900,00:06:17.000,00:00:02.100,,,,,,,,,,,,"it's kind of very hard to like do",
00:06:17.000,00:06:19.400,00:00:02.400,,,,,,,,,"yeah you can use the mouse if you want",,,,
00:06:19.800,00:06:20.300,00:00:00.500,,,,,,,,,"it's up to you",,,,
00:06:20.300,00:06:20.400,00:00:00.100,,,,,,,,,,,,"okay",
00:06:20.400,00:06:27.147,00:00:06.747,,,,,,,,,"all right go ahead and get started",,,,
00:06:27.147,00:06:27.200,00:00:00.053,"TRC",,,,,,,,"all right go ahead and get started",,,,
00:06:27.200,00:06:30.995,00:00:03.795,"TRC",,,"SV",,"SV1A",,,,,,"okay I feel like I'm pause filler so I know what like to do",
00:06:30.995,00:06:31.000,00:00:00.005,"TRC",,,"SV",,"SV1A",,,,,,"okay I feel like I'm pause filler so I know what like to do",
00:06:31.000,00:06:32.700,00:00:01.700,"TRC",,,"SV",,"SV1A",,,,,,"but I don't know how to like do it",
00:06:32.700,00:06:32.716,00:00:00.016,"TRC",,,,,,,,,,,,
00:06:33.200,00:06:38.900,00:00:05.700,,,,,,,,,,,,"because I know you have to do forty divided by three over seven but like",
00:06:39.100,00:06:42.600,00:00:03.500,,,"SV",,"SV1A",,,,,,"let's see the cheat sheet and",,
00:06:42.600,00:06:46.200,00:00:03.600,,,,,,,,,,,,"so you find the thing with like the matching thingy equation pause filler",
00:06:46.400,00:06:48.500,00:00:02.100,,,,,,,,,,,"the matching thingy equation",,
00:06:48.500,00:06:49.400,00:00:00.900,,,,,,,,,,,"I found that",,
00:06:49.400,00:06:50.800,00:00:01.400,,,,,,,,,,,"it's the first one (inaudible)",,
00:06:51.100,00:06:58.000,00:00:06.900,,,,,,,,,,,"okay so first you have to multiply both sides by three over seven",,
00:06:58.000,00:07:02.000,00:00:04.000,,,,,,,,,,,,"okay negative or positive",
00:07:03.600,00:07:03.999,00:00:00.399,,,,,,,,,,,"positive",,
00:07:03.999,00:07:04.000,00:00:00.001,"TRC",,,,,,,,,,"positive",,
00:07:04.000,00:07:06.600,00:00:02.600,"TRC",,,"SV",,"SV1A",,,,,,"oh that's really bad",
00:07:06.600,00:07:06.632,00:00:00.032,"TRC",,,,,,,,,,,,
00:07:08.600,00:07:13.300,00:00:04.700,,,"SV",,"SV1A",,,,,,"I have a mouse",,
00:07:14.800,00:07:18.300,00:00:03.500,,,,"SV",,"SV1A",,,,,,"oh really okay",
00:07:18.400,00:07:19.600,00:00:01.200,,,"SV",,"SV1A",,,,,,"your face it's like",,
00:07:20.670,00:07:20.700,00:00:00.030,"TRC",,,,,,,,,,,,
00:07:20.700,00:07:22.500,00:00:01.800,"TRC",,,"SV",,"SV1A",,,,,,"I'm like trying so hard",
00:07:22.500,00:07:22.527,00:00:00.027,"TRC",,,,,,,,,,,,
00:07:24.000,00:07:28.200,00:00:04.200,,,,,,,,,,,,"when you multiply we does that cancel out",
00:07:28.200,00:07:30.153,00:00:01.953,,,,,,,,,,,,"does the three over seven cancel out when you multiply it",
00:07:30.153,00:07:30.200,00:00:00.047,"TRC",,,,,,,,,,,"does the three over seven cancel out when you multiply it",
00:07:30.200,00:07:35.600,00:00:05.400,"TRC",,,"SV",,"SV1A",,,,,,"I have no idea (laughter)",
00:07:35.600,00:07:35.620,00:00:00.020,"TRC",,,,,,,,,,,,
00:07:37.780,00:07:37.800,00:00:00.020,"[yours is so good]",,,,,,,,,,,,
00:07:37.800,00:07:38.800,00:00:01.000,"[yours is so good]",,,,,,,"LPB",,,,"this is so good",
00:07:38.800,00:07:38.826,00:00:00.026,"[yours is so good]",,"SV",,"SV1A",,,,,,"I'm using a mouse (laughter)",,
00:07:38.826,00:07:42.100,00:00:03.274,,,"SV",,"SV1A",,,,,,"I'm using a mouse (laughter)",,
00:07:42.600,00:07:47.200,00:00:04.600,,,,,,,,,,,"it's nine over forty-nine",,
00:07:47.200,00:07:49.600,00:00:02.400,,,,,,,,,,,,"what oh three over seven",
00:07:49.600,00:07:54.100,00:00:04.500,,,,,,,,,,,"yeah and then we have to do three over",,
00:07:54.100,00:07:57.000,00:00:02.900,,,,,,,,,,,,"we (inaudible) three wait three over seven times three over",
00:07:57.000,00:07:58.200,00:00:01.200,,,,,,,,,,,,"oh yeah okay okay",
00:07:58.400,00:07:59.000,00:00:00.600,,,,,,,,,,,"both sides",,
00:08:00.300,00:08:12.300,00:00:12.000,,,,,,,,,,,"okay and now we have to do forty over one times three over seven equals seven",,
00:08:13.400,00:08:16.900,00:00:03.500,,,,,,,,,,,"what's all that one hundred twenty",,
00:08:19.200,00:08:22.900,00:00:03.700,,,,,,,,,,,"one hundred twenty over seven",,
00:08:24.800,00:08:28.600,00:00:03.800,,,,,,,,,,,"seven divided by one hundred twenty is",,
00:08:28.600,00:08:29.987,00:00:01.387,,,,,,,,,,,,"a fraction",
00:08:29.987,00:08:30.000,00:00:00.013,"TRC",,,,,,,,,,,"a fraction",
00:08:30.000,00:08:32.800,00:00:02.800,"TRC",,"SV",,"SV1A",,,,,,"this is so confusing",,
00:08:32.800,00:08:32.822,00:00:00.022,"TRC",,,,,,,,,,,"wait seven divided by one hundred twenty",
00:08:32.822,00:08:34.700,00:00:01.878,,,,,,,,,,,,"wait seven divided by one hundred twenty",
00:08:34.900,00:08:35.200,00:00:00.300,,,,,,,,,,,"yeah",,
00:08:35.800,00:08:38.000,00:00:02.200,,,,,,,,,,,,"just write it as a fraction just write it like",
00:08:38.300,00:08:39.200,00:00:00.900,,,,,,,,,,,"that is a fraction",,
00:08:39.300,00:08:41.900,00:00:02.600,,,,,,,,,,,"but I have to write it as a mixed fraction",,
00:08:42.400,00:08:45.300,00:00:02.900,,,,,,,,,,,,"you mean like a you have to divide it",
00:08:46.800,00:08:51.100,00:00:04.300,,,,,,,,,,,"well it's pretty much a division problem",,
00:08:51.400,00:08:51.900,00:00:00.500,,,,,,,,,,,,"okay",
00:08:51.900,00:08:53.600,00:00:01.700,,,,,,,,,,,"so if I wrote it like this",,
00:08:55.700,00:08:59.000,00:00:03.300,,,,,,,,,,,,"I can't see",
00:08:59.500,00:09:02.200,00:00:02.700,,,,"SV",,"SV1A",,,,,,"wait do I have to move down wait",
00:09:02.200,00:09:04.500,00:00:02.300,,,,"SV",,"SV1A",,,,,,"oh my gosh",
00:09:05.000,00:09:05.700,00:00:00.700,,,,"SV",,"SV1A",,,,,,"so pause filler",
00:09:05.700,00:09:06.700,00:00:01.000,,,,"SV",,"SV1A",,,,,,"can I scroll down",
00:09:06.700,00:09:08.800,00:00:02.100,,,,"SV",,"SV1A",,,,,,"oh here we go okay (laughter)",
00:09:08.800,00:09:13.200,00:00:04.400,,,,"SV",,"SV1A",,,,,,"I'm trying to scroll down",
00:09:13.700,00:09:15.800,00:00:02.100,,,,"SV",,"SV1A",,,,,,"did you scroll down to",
00:09:15.800,00:09:17.500,00:00:01.700,,,,"SV",,"SV1A",,,,,,"oh oh oh there we go",
00:09:17.500,00:09:19.400,00:00:01.900,,,,"SV",,"SV1A",,,,,,"I see it okay",
00:09:19.800,00:09:28.400,00:00:08.600,,,,,,,,,,,"yay okay so pretty much what you have to well it's pretty",,
00:09:28.400,00:09:31.200,00:00:02.800,,,,,,,,,,,"it is a division problem do you see how it's like",,
00:09:32.500,00:09:35.100,00:00:02.600,,,,,,,,,,,"this is like a division problem",,
00:09:35.600,00:09:37.700,00:00:02.100,,,,,,,,,,,"so if I read it another way",,
00:09:37.700,00:09:39.300,00:00:01.600,,,,,,,,,,,"I can write it one",,
00:09:39.500,00:09:42.800,00:00:03.300,,,,,,,,,,,,"how did you get to one hundred twenty divided by four",
00:09:42.800,00:09:48.600,00:00:05.800,,,,,,,,,,,"I pause filler multiplied forty over one which is pretty much forty pause filler",,
00:09:50.000,00:09:51.400,00:00:01.400,,,,,,,,,,,,"but why did you do that",
00:09:51.800,00:09:54.400,00:00:02.600,,,,,,,,,,,"because it equals the whole number forty",,
00:09:55.600,00:10:01.100,00:00:05.500,,,,,,,,,,,"if it was one over forty that would be a fraction a different kind of number",,
00:10:01.500,00:10:04.900,00:00:03.400,,,,,,,,,,,"but since it's not it's a whole number",,
00:10:06.000,00:10:07.300,00:00:01.300,,,"SV",,"SV1A",,,,,,"so that's how I learned it so yeah",,
00:10:07.300,00:10:12.200,00:00:04.900,,,,"SV",,"SV1A",,,,,,"okay do you want to like erase this to make more room",
00:10:13.000,00:10:14.800,00:00:01.800,,,"SV",,"SV1A",,,,,,"yeah I can do that",,
00:10:14.800,00:10:17.700,00:00:02.900,,,,"SV",,"SV1A",,,,,,"okay I'm really bad at the eraser (laughter)",
00:10:18.400,00:10:21.900,00:00:03.500,,,,"SV",,"SV1A",,,,,,"wait I'm trying to find the eraser thing",
00:10:21.900,00:10:23.100,00:00:01.200,,,,"SV",,"SV1A",,,,,,"stop no",
00:10:24.700,00:10:25.800,00:00:01.100,,,,"SV",,"SV1A",,,,,,"okay I'm black right",
00:10:25.800,00:10:27.600,00:00:01.800,,,,"SV",,"SV1A",,,,,,"mine is black again",
00:10:27.800,00:10:29.400,00:00:01.600,,,"SV",,"SV1A",,,,,,"you're more dark green",,
00:10:30.000,00:10:32.400,00:00:02.400,,,,"SV",,"SV1A",,,,,,"yeah I think it's a dark green but I don't know",
00:10:32.500,00:10:35.100,00:00:02.600,,,"SV",,"SV1A",,,,,,"she said black",,
00:10:35.600,00:10:37.300,00:00:01.700,,,,"SV",,"SV1A",,,,,,"yeah oh wait should I put it like on black",
00:10:39.300,00:10:41.800,00:00:02.500,,,,"SV",,"SV1A",,,,,,"wait yeah I think it's like a dark green",
00:10:42.600,00:10:43.100,00:00:00.500,,,"SV",,"SV1A",,,,,,"okay",,
00:10:43.200,00:10:46.400,00:00:03.200,,,,"SV",,"SV1A",,,,,,"or now it's only black",
00:10:46.400,00:10:51.200,00:00:04.800,,,,"SV",,"SV1A",,,,,,"there we go okay okay",
00:10:51.200,00:10:52.900,00:00:01.700,,,"SV",,"SV1A",,,,,,"mine would be mint green okay",,
00:10:52.900,00:10:57.100,00:00:04.200,,,,,,,,,,,"so we were at one twenty",,
00:10:57.300,00:10:59.500,00:00:02.200,,,,,,,,,,,,"yeah here look at the equation in the cheat sheet again",
00:11:00.000,00:11:00.900,00:00:00.900,,,,,,,,,,,,"I mean we were like okay",
00:11:00.900,00:11:04.000,00:00:03.100,,,,,,,,,,,,"let's go through the steps so (laughter) just to show it to me okay",
00:11:04.000,00:11:04.600,00:00:00.600,,,,,,,,,,,,"mm-hmm",
00:11:08.000,00:11:10.300,00:00:02.300,,,,,,,,,,,,"so what did they do first",
00:11:12.100,00:11:15.300,00:00:03.200,,,"SV",,"SV1A",,,,,,"boy I'm stupid",,
00:11:15.500,00:11:16.100,00:00:00.600,,,,,,,,,,,"that's the answer",,
00:11:17.200,00:11:19.200,00:00:02.000,,,,,,,,,,,,"what one twenty",
00:11:19.200,00:11:22.000,00:00:02.800,,,,,,,,,,,"one twenty (laughter) (inaudible) sorry",,
00:11:24.400,00:11:30.600,00:00:06.200,,,,,,,,,,,"pause filler what was the fraction again seven",,
00:11:31.700,00:11:39.200,00:00:07.500,,,,,,,,,,,"that is the answer",,
00:11:39.200,00:11:39.300,00:00:00.100,,,,,,,,,,,,"aw",
00:11:40.000,00:11:42.000,00:00:02.000,,,,,,,,,,,,"hey wait did you do",
00:11:42.000,00:11:42.500,00:00:00.500,,,,,,,,,,,"I don't know (laughter)",,
00:11:42.500,00:11:44.500,00:00:02.000,,,,,,,,,,,,"did you do forty time three",
00:11:45.800,00:11:47.500,00:00:01.700,,,,,,,,,,,"uh-uh this whole thing",,
00:11:47.800,00:11:49.000,00:00:01.200,,,,,,,,,,,"I did it time this",,
00:11:49.900,00:11:51.600,00:00:01.700,,,,,,,,,,,,"the what",
00:11:51.800,00:11:53.600,00:00:01.800,,,"SV",,"SV1A",,,,,,"well that's a good box (sfx)",,
00:11:53.900,00:11:55.600,00:00:01.700,,,"SV",,"SV1A",,,,,,"okay sorry (laughter)",,
00:11:55.600,00:12:02.200,00:00:06.600,,,,,,,,,,,"so I just do three over seven times that over four over one",,
00:12:02.800,00:12:05.200,00:00:02.400,,,,,,,,,,,,"but why did you wait",
00:12:05.200,00:12:06.600,00:00:01.400,,,,,,,,,,,,"can you just keep it forty",
00:12:07.400,00:12:07.900,00:00:00.500,,,,,,,,,,,"no",,
00:12:08.000,00:12:12.400,00:00:04.400,,,,,,,,,,,"but well a fraction is easier when you do",,
00:12:12.400,00:12:15.800,00:00:03.400,,,,,,,,,,,,"oh you just do it over one to make it easier yeah okay",
00:12:16.600,00:12:18.400,00:00:01.800,,,,,,,,,,,"so yeah okay next problem",,
00:12:19.700,00:12:23.900,00:00:04.200,,,,,,,,,,,,"okay fourteen equals three okay (inaudible)",
00:12:23.900,00:12:24.200,00:00:00.300,,,,,,,,,,,"okay got it",,
00:12:24.200,00:12:25.100,00:00:00.900,,,,,,,,,,,"I got it",,
00:12:25.100,00:12:29.800,00:00:04.700,,,,,,,,,,,,"you have to do three eight pause filler on each side times three eight on each side",
00:12:30.099,00:12:30.100,00:00:00.001,,"00",,,,,,,,,,,
00:12:30.100,00:12:31.400,00:00:01.300,,"00",,,,,,,,,"yes you got it",,
00:12:31.400,00:12:31.415,00:00:00.015,,"00",,,,,,,,,,"oh okay",
00:12:31.415,00:12:33.200,00:00:01.785,,,,,,,,,,,,"oh okay",
00:12:33.600,00:12:33.777,00:00:00.177,,,,,,,,,,,"okay",,
00:12:33.777,00:12:33.800,00:00:00.023,"TRC",,,,,,,,,,"okay",,
00:12:33.800,00:12:37.600,00:00:03.800,"TRC",,,"SV",,"SV1A",,,,,,"can we just do some mental math okay",
00:12:37.600,00:12:37.624,00:00:00.024,"TRC",,,,,,,,,,,"that would be nine over sixty-four",
00:12:37.624,00:12:40.200,00:00:02.576,,,,,,,,,,,,"that would be nine over sixty-four",
00:12:40.200,00:12:42.500,00:00:02.300,,,,,,,,,,,,"I think",
00:12:42.500,00:12:50.400,00:00:07.900,,,,,,,,,,,,"yeah nine over sixty oh my gosh nine over sixty-four k",
00:12:50.400,00:12:51.800,00:00:01.400,,,"SV",,"SV1A",,,,,,"why don't you just use this",,
00:12:51.900,00:12:53.500,00:00:01.600,,,,"SV",,"SV1A",,,,,,"what",
00:12:53.500,00:12:56.300,00:00:02.800,,,"SV",,"SV1A",,,,,,"this it's neither",,
00:12:56.700,00:12:59.300,00:00:02.600,,,,"SV",,"SV1A",,,,,,"what like a pencil",
00:12:59.300,00:13:01.700,00:00:02.400,,,,"SV",,"SV1A",,,,,,"is that the type of pencil",
00:13:01.700,00:13:05.500,00:00:03.800,,,"SV",,"SV1A",,,,,,"you just how about you just my like writing and then",,
00:13:05.500,00:13:08.600,00:00:03.100,,,"SV",,"SV1A",,,,,,"so it's neither and you can actually understand it",,
00:13:09.400,00:13:10.200,00:00:00.800,,,,"SV",,"SV1A",,,,,,"what do you mean",
00:13:11.700,00:13:13.500,00:00:01.800,,,"SV",,"SV1A",,,,,,"pause filler hold up",,
00:13:13.500,00:13:17.700,00:00:04.200,,,,"SV",,"SV1A",,,,,,"here maybe if I just like write bigger",
00:13:18.200,00:13:19.600,00:00:01.400,,,"SV",,"SV1A",,,,,,"that just takes up more room",,
00:13:20.100,00:13:21.800,00:00:01.700,,,"SV",,"SV1A",,,,,,"I can write for you",,
00:13:23.500,00:13:24.100,00:00:00.600,,,,"SV",,"SV1A",,,,,,"it's fine",
00:13:24.100,00:13:26.100,00:00:02.000,,,,"SV",,"SV1A",,,,,,"see that works that works",
00:13:27.000,00:13:31.900,00:00:04.900,,,,,,,,,,,,"so nine over sixty-four k equals",
00:13:31.900,00:13:36.900,00:00:05.000,,,,,,,,,,,,"and then we have to do fourteen times three over eight right",
00:13:36.900,00:13:40.700,00:00:03.800,,,,,,,,,,,"multiply by both sides",,
00:13:40.700,00:13:46.500,00:00:05.800,,,,,,,,,,,"so you want to multiply three over eight by fourteen and times that by itself",,
00:13:46.500,00:13:47.600,00:00:01.100,,,,,,,,,,,,"okay let's do it",
00:13:47.600,00:13:49.200,00:00:01.600,,,,,,,,,,,,"okay so you already have it written down",
00:13:49.200,00:13:51.200,00:00:02.000,,,,,,,,,,,,"fourteen so fourteen time three",
00:13:51.868,00:13:51.900,00:00:00.032,"TRC",,,,,,,,,,,,
00:13:51.900,00:13:54.700,00:00:02.800,"TRC",,,"SV",,"SV1A",,,,,,"I'm just going to use a calculator",
00:13:54.700,00:13:54.703,00:00:00.003,"TRC",,,,,,,,,,,"okay so fourteen times three would be",
00:13:54.703,00:14:00.400,00:00:05.697,,,,,,,,,,,,"okay so fourteen times three would be",
00:14:00.676,00:14:00.700,00:00:00.024,"TRC",,,,,,,,,,,,
00:14:00.700,00:14:02.100,00:00:01.400,"TRC",,,"SV",,"SV1A",,,,,,"I'll just do it up here",
00:14:02.100,00:14:02.127,00:00:00.027,"TRC",,,,,,,,,,,,
00:14:02.800,00:14:04.500,00:00:01.700,,,,,,,,,,,"forty-two",,
00:14:05.400,00:14:08.000,00:00:02.600,,,,,,,,,,,,"oh you did it",
00:14:08.100,00:14:10.400,00:00:02.300,,,,,,,,,,,,"okay oh yeah yeah okay",
00:14:10.400,00:14:16.000,00:00:05.600,,,,,,,,,,,,"so forty-two over eight so forty-two over eight equals that",
