"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter","Experimenter 2","P1","P2"
00:00:02.012,00:00:04.078,00:00:02.066,,"that looks great",,,
00:00:05.485,00:00:16.599,00:00:11.114,,"so just a moment",,,
00:00:16.809,00:00:22.586,00:00:05.777,,,"so we need to get something together pause filler",,
00:00:22.586,00:00:25.918,00:00:03.332,,,"make sure I start with the first one correctly pause filler",,
00:00:25.918,00:00:29.091,00:00:03.173,,,"you guys can hang out and talk a little bit pause filler",,
00:00:29.290,00:00:32.413,00:00:03.123,,,"don't start working yet though",,
00:00:32.413,00:00:34.199,00:00:01.786,,"all right so everything looks good",,,
00:00:34.199,00:00:40.016,00:00:05.817,,"and before we start I just need to make sure the server is working so",,,
00:00:40.016,00:00:47.848,00:00:07.832,,"you just put these on to make sure you guys can hear each other",,,
00:00:47.918,00:00:48.816,00:00:00.898,,,,"pause filler I'm hearing stuff",
00:00:49.305,00:00:50.133,00:00:00.828,,,,,"yeah can you hear me"
00:00:50.233,00:00:51.231,00:00:00.998,,,,"yeah I can hear you",
00:00:51.231,00:00:51.560,00:00:00.329,,,,,"all right"
00:00:52.149,00:00:53.406,00:00:01.257,,,,"yeah okay",
00:00:53.406,00:00:55.780,00:00:02.374,,"can you move back up a little in your chair",,,
00:00:55.780,00:00:56.968,00:00:01.188,,,,"what",
00:00:56.968,00:00:59.941,00:00:02.973,,"can you move back up in your chair a little",,,
00:00:59.941,00:01:01.727,00:00:01.786,,"and move them here",,,
00:01:01.327,00:01:02.384,00:00:01.057,,,,"yeah is there a way to",
00:01:04.560,00:01:19.766,00:00:15.206,,"okay all right so you guys can hear each other okay",,,
00:01:19.955,00:01:20.424,00:00:00.469,,,,"uh-huh",
00:01:24.156,00:01:26.770,00:00:02.614,,"I am going to just come in",,,
00:01:26.770,00:01:34.033,00:00:07.263,,"all right so you guys can feel free to hang out and talk",,,
00:01:34.033,00:01:38.922,00:00:04.889,,"I just have to go and check on something really quickly",,,
00:01:38.922,00:01:43.003,00:00:04.081,,"I'll be right back",,,
00:01:43.342,00:01:43.542,00:00:00.200,,,,"okay",
00:01:47.324,00:01:48.634,00:00:01.310,,,,,"nice to see you again"
00:01:49.333,00:01:50.303,00:00:00.970,,,,"yeah nice to see you as well yeah",
00:01:52.634,00:01:53.884,00:00:01.250,,,,,"so how's your week"
00:01:54.148,00:01:57.410,00:00:03.262,,,,"ah pretty good spring break just started for me",
00:01:57.410,00:01:57.879,00:00:00.469,,,,"what about you",
00:01:57.879,00:01:58.977,00:00:01.098,,,,"have you guys spring break yet",
00:01:59.346,00:02:01.870,00:00:02.524,,,,,"no pause filler I have like a half day Wednesday"
00:02:01.870,00:02:04.534,00:00:02.664,,,,,"and then on Thursday and Friday I'm off"
00:02:04.534,00:02:06.324,00:00:01.790,,,,,"and then on Monday I'm off again so"
00:02:07.818,00:02:09.632,00:00:01.814,,,,"I've had the entire week off",
00:02:09.632,00:02:10.510,00:00:00.878,,,,"so a little bit",
00:02:10.510,00:02:10.750,00:00:00.240,,,,,"really"
00:02:10.750,00:02:12.610,00:00:01.860,,,,"yeah so this all be nice",
00:02:13.943,00:02:16.118,00:00:02.175,,,,,"I wish I had the entire week off"
00:02:16.118,00:02:18.063,00:00:01.945,,,,"yeah that sucks",
00:02:23.000,00:02:27.143,00:00:04.143,,,,,"(laughter) I think next year my school was going to try to do like the entire week thing"
00:02:27.143,00:02:28.420,00:00:01.277,,,,,"but not this year"
00:02:29.527,00:02:29.707,00:00:00.180,,,,"oh",
00:02:30.226,00:02:31.104,00:00:00.878,,,,"that would be nice",
00:02:31.104,00:02:33.448,00:00:02.344,,,,"I hope that it works out",
00:02:33.618,00:02:36.671,00:00:03.053,,,,,"yeah so what are you doing for Easter"
00:02:38.277,00:02:41.486,00:00:03.209,,,,"pause filler oh wow I think you realize I was coming up",
00:02:42.094,00:02:43.624,00:00:01.530,,,,"not much I don't think",
00:02:43.624,00:02:44.524,00:00:00.900,,,,"so I'm ever going to do anything",
00:02:50.611,00:02:52.345,00:00:01.734,,,,"are you going to do anything",
00:02:52.515,00:02:52.814,00:00:00.299,,,,,"I don't know"
00:02:52.814,00:02:56.167,00:00:03.353,,,,,"I'm probably just going to have dinner with my family or something like that"
00:02:56.167,00:02:57.813,00:00:01.646,,,,,"maybe some family will come over"
00:02:58.242,00:03:00.656,00:00:02.414,,,,,"and I'll go to church probably on that day"
00:03:03.450,00:03:04.022,00:00:00.572,,,,"that's nice",
00:03:12.242,00:03:12.909,00:00:00.667,,,,,"so are you tired"
00:03:12.909,00:03:14.525,00:00:01.616,,,,,"I'm tired (laughter)"
00:03:14.884,00:03:19.194,00:00:04.310,,,,"yeah I guess I probably I stayed up a little bit late last night",
00:03:19.364,00:03:25.470,00:00:06.106,,,,,"yeah but sometimes and like I want to sleep but I don't but I should (laughter)"
00:03:25.470,00:03:27.196,00:00:01.726,,,,"yeah and me too",
00:03:27.196,00:03:32.674,00:00:05.478,,,,"I was reading and I'm like this book is good but I probably should go to bed",
00:03:32.674,00:03:32.993,00:00:00.319,,,,,"yeah"
00:03:35.308,00:03:38.241,00:00:02.933,,,,"but you know since I didn't have to wake up as early",
00:03:38.301,00:03:41.743,00:00:03.442,,,,"so I (inaudible) myself stay up later",
00:03:42.432,00:03:44.527,00:00:02.095,,,,,"why do usually have to wake up early"
00:03:44.627,00:03:47.490,00:00:02.863,,,,"yeah school starts at seven thirty-six for me",
00:03:47.490,00:03:48.977,00:00:01.487,,,,"so I have to wake up at six o'clock",
00:03:48.977,00:03:52.499,00:00:03.522,,,,,"oh yeah I have to wake up at seven o'clock also"
00:03:52.499,00:03:55.013,00:00:02.514,,,,,"I'm at eight six o'clock I can't yet"
00:03:55.013,00:04:00.526,00:00:05.513,,,,"yeah because it's just so annoying entire and waking up like that",
00:04:00.708,00:04:01.616,00:00:00.908,,,,,"yeah I agree"
00:04:02.526,00:04:07.085,00:00:04.559,,,,"I was really lucky because like other people that takes a bus for like the first stop",
00:04:07.085,00:04:09.859,00:00:02.774,,,,"they have to wake up like around five so",
00:04:11.266,00:04:15.424,00:00:04.158,,,,,"yeah my bus comes at like seven o four or something like that"
00:04:16.933,00:04:19.757,00:00:02.824,,,,"yeah my bus comes like yeah around that time",
00:04:19.757,00:04:22.760,00:00:03.003,,,,"somewhere between like six fifty-five",
00:04:22.780,00:04:26.461,00:00:03.681,,,,"to seven o five so usually on the earlier side on that",
00:04:26.821,00:04:27.739,00:00:00.918,,,,,"so where do you live"
00:04:28.547,00:04:30.163,00:00:01.616,,,,"I live in Squirrel Hill",
00:04:30.163,00:04:33.256,00:00:03.093,,,,,"oh okay that's pretty far away then from my house I mean"
00:04:33.256,00:04:35.441,00:00:02.185,,,,,"I live in pause filler I live in Imperial"
00:04:35.441,00:04:36.958,00:00:01.517,,,,,"do you know where the airport is"
00:04:37.237,00:04:37.756,00:00:00.519,,,,"yeah",
00:04:37.965,00:04:40.869,00:00:02.904,,,,,"I live like a few minutes away from the airport so"
00:04:40.959,00:04:42.774,00:00:01.815,,,,"oh yeah that is far away",
00:04:42.884,00:04:43.832,00:00:00.948,,,,,"yeah (laughter)"
00:04:48.731,00:04:50.547,00:00:01.816,,,,,"so are you going on vacation this summer"
00:04:50.547,00:04:51.764,00:00:01.217,,,,,"or doing anything fun"
00:04:52.732,00:04:53.819,00:00:01.087,,,,"this summer pause filler really",
00:04:56.200,00:04:59.200,00:00:03.000,,,,"so I'm not figured out what we're going to do",
00:04:59.200,00:05:03.976,00:00:04.776,,,,"but yeah we're probably going to end up going to Maryland because my grandparents are over there",
00:05:04.196,00:05:04.794,00:00:00.598,,,,,"that sounds fun"
00:05:04.794,00:05:05.892,00:00:01.098,,,,"yeah we usually go to Colorado",
00:05:06.191,00:05:09.833,00:00:03.642,,,,"but we're not sure we're going to go this year",
00:05:10.382,00:05:12.836,00:00:02.454,,,,"so we need to figure that out",
00:05:17.126,00:05:19.222,00:00:02.096,,,,,"so it was just warm"
00:05:19.222,00:05:20.568,00:00:01.346,,,,,"and then it's not even warm again"
00:05:20.568,00:05:21.636,00:00:01.068,,,,,"it's just cold again"
00:05:21.895,00:05:22.953,00:00:01.058,,,,"I know it sucks",
00:05:22.953,00:05:24.240,00:00:01.287,,,,"it's like all cool",
00:05:24.240,00:05:26.196,00:00:01.956,,,,"I want it to be warm",
00:05:26.196,00:05:28.910,00:00:02.714,,,,"and it's like somewhat snowing outside",
00:05:29.029,00:05:30.546,00:00:01.517,,,,,"it was snowing yeah"
00:05:30.765,00:05:31.224,00:00:00.459,,,,"yeah",
00:05:31.464,00:05:34.008,00:00:02.544,,,,,"so are you excited for spring summer though"
00:05:35.066,00:05:37.939,00:00:02.873,,,,"yeah I can't wait just not waking up as early",
00:05:38.398,00:05:42.219,00:00:03.821,,,,,"yeah the only thing I really like about winter is when it actually snows"
00:05:42.219,00:05:43.975,00:00:01.756,,,,,"and then it barely even snowed this winter"
00:05:43.975,00:05:44.464,00:00:00.489,,,,,"so I'm done"
00:05:44.464,00:05:48.984,00:00:04.520,,,,"I know it was just sort of like annoying like enough that you had to shovel it",
00:05:49.084,00:05:51.359,00:00:02.275,,,,"but you didn't get any days off",
00:05:51.608,00:05:52.057,00:00:00.449,,,,,"yeah"
00:05:52.636,00:05:56.207,00:00:03.571,,,,"I actually got like one day off this entire winter",
00:05:56.207,00:05:56.597,00:00:00.390,,,,,"yeah me too"
00:05:57.445,00:05:59.879,00:00:02.434,,,,"yeah but it was like not even cold out",
00:06:00.528,00:06:03.690,00:00:03.162,,,,,"and I only got like two-hour delays probably"
00:06:03.690,00:06:06.245,00:00:02.555,,,,"yeah we didn't get yeah the same for us",
00:06:06.245,00:06:10.585,00:00:04.340,,,,"it is like winter wasn't even here",
00:06:11.163,00:06:11.543,00:00:00.380,,,,,"yeah (laughter)"
00:06:14.835,00:06:17.320,00:00:02.485,,,,,"I don't know if they go to your school or not"
00:06:17.320,00:06:20.931,00:00:03.611,,,,,"but a couple of my friends are at Squirrel Hill and then pause filler"
00:06:21.001,00:06:22.777,00:00:01.776,,,,,"do you know Sophia Doyna or Trisha Soreta"
00:06:23.666,00:06:24.566,00:00:00.900,,,,"I don't think so",
00:06:24.544,00:06:28.275,00:00:03.731,,,,,"okay because I think they go to Falk"
00:06:28.275,00:06:30.090,00:00:01.815,,,,,"never mind (laughter)"
00:06:31.118,00:06:31.667,00:00:00.549,,,,"yeah",
00:06:47.560,00:06:50.175,00:00:02.615,,,,,"so what made you decide to do the CMU thing"
00:06:50.674,00:06:55.054,00:00:04.380,,,,"oh well I guess pause filler my mom works here",
00:06:55.054,00:06:56.301,00:00:01.247,,,,"so she noticed it",
00:06:56.381,00:06:59.933,00:00:03.552,,,,"and yeah I decided I'd do it",
00:07:00.082,00:07:00.312,00:00:00.230,,,,,"yeah"
00:07:00.621,00:07:00.970,00:00:00.349,,,,"so",
00:07:01.349,00:07:04.891,00:00:03.542,,,,,"it's not too long you get money"
00:07:05.470,00:07:06.717,00:00:01.247,,,,"yeah money is nice",
00:07:06.987,00:07:09.222,00:00:02.235,,,,,"yeah but it's a good experience also"
00:07:10.259,00:07:10.668,00:00:00.409,,,,"yeah (inaudible)",
00:07:10.668,00:07:12.893,00:00:02.225,,,"all right so",,
00:07:12.993,00:07:18.321,00:00:05.328,,"okay so I'm just going to come in (inaudible)",,,
00:07:18.351,00:07:19.528,00:00:01.177,,,,,"thank you"
00:07:19.528,00:07:20.855,00:00:01.327,,,,"I have a question",
00:07:20.915,00:07:26.283,00:00:05.368,,,,"is there a way to turn this down a little bit",
00:07:26.283,00:07:27.221,00:00:00.938,,,,,"all right"
00:07:27.221,00:07:28.328,00:00:01.107,,,,"(inaudible) all right thanks",
00:07:28.328,00:07:38.675,00:00:10.347,,"so you're going to have twenty minutes to help them work through as many problems as you can",,,
00:07:38.934,00:07:44.531,00:00:05.597,,"so remember that you're not solving the problems yourself",,,
00:07:44.531,00:07:54.259,00:00:09.728,,"you're just going to try to help her understand the problems better",,,
00:07:54.339,00:07:58.330,00:00:03.991,,"and let's just use the stylus to circle or underline anything you need to",,,
00:07:58.330,00:08:04.296,00:00:05.966,,"there's no pressure if you don't get through all of them though",,,
00:08:04.296,00:08:10.173,00:00:05.877,,"and you can go ahead and get started",,,
00:08:10.612,00:08:11.151,00:00:00.539,,,,"pause filler okay (laughter)",
00:08:11.859,00:08:14.593,00:00:02.734,,,,,"so do you know how to do this"
00:08:14.593,00:08:15.990,00:00:01.397,,,,,"you've learned this in school right"
00:08:16.189,00:08:20.769,00:00:04.580,,,,"yeah so okay so yeah",
00:08:20.769,00:08:23.912,00:00:03.143,,,,"the first thing is you want to get x alone",
00:08:23.912,00:08:27.055,00:00:03.143,,,,"you want to get rid of those the three over seven pause filler",
00:08:28.262,00:08:37.351,00:00:09.089,,,,,"yes so then you would have to well on the sheet it was like saying that you would have to do seven x"
00:08:37.351,00:08:38.908,00:00:01.557,,,,,"but I guess that's not"
00:08:39.496,00:08:40.265,00:00:00.769,,,,,"well never mind"
00:08:41.103,00:08:43.896,00:00:02.793,,,,"yeah so there's like two ways to do this",
00:08:43.956,00:08:47.458,00:00:03.502,,,,"you could either divide x plus three over seven",
00:08:47.458,00:08:50.352,00:00:02.894,,,,"or you could multiply it plus three over seven",
00:08:51.579,00:08:54.333,00:00:02.754,,,,,"yes so you would have to divide it by three sevens"
00:08:55.151,00:08:58.543,00:00:03.392,,,,"yeah or we could multiply it by the reciprocal",
00:08:59.062,00:09:00.159,00:00:01.097,,,,"because that would also work",
00:09:00.159,00:09:01.846,00:00:01.687,,,,"because that would turn it into one",
00:09:02.534,00:09:03.322,00:00:00.788,,,,,"yeah yeah yeah"
00:09:04.041,00:09:05.398,00:00:01.357,,,,,"so what do you think"
00:09:05.398,00:09:06.126,00:00:00.728,,,,,"what do you"
00:09:07.054,00:09:10.925,00:00:03.871,,,,"pause filler I mean it all depends",
00:09:11.035,00:09:13.759,00:00:02.724,,,,"would you rather divide forty or",
00:09:13.759,00:09:15.604,00:00:01.845,,,,"would you rather multiply over forty",
00:09:15.604,00:09:19.755,00:00:04.151,,,,"probably multiplying might be easier than dividing forty",
00:09:19.934,00:09:22.828,00:00:02.894,,,,,"all right then teach me how to do that then"
00:09:27.280,00:09:29.463,00:00:02.183,,,,"okay okay that's weird oh okay yeah",
00:09:29.463,00:09:32.017,00:00:02.554,,,,"so you would want to do is",
00:09:32.017,00:09:36.696,00:00:04.679,,,,"you would want to just put like forty over here",
00:09:40.223,00:09:40.907,00:00:00.684,,,,"so that works",
00:09:40.907,00:09:45.935,00:00:05.028,,,,"so you I guess you would want to write out forty if you're going to multiply that",
00:09:50.795,00:09:51.543,00:00:00.748,,,,,"all right so then"
00:09:51.543,00:09:59.993,00:00:08.450,,,,"so then pause filler if we're going to multiply it pause filler you're going to just write over here three over seven",
00:09:59.993,00:10:02.009,00:00:02.016,,,,"or seven over three yeah",
00:10:02.009,00:10:03.406,00:00:01.397,,,,"and you want to do a reciprocal",
00:10:02.288,00:10:02.628,00:00:00.340,,,,,"yeah"
00:10:03.515,00:10:03.855,00:00:00.340,,,,,"yeah"
00:10:05.651,00:10:08.225,00:00:02.574,,,,"and I assume you know how to multiply fractions right",
00:10:08.783,00:10:11.896,00:00:03.113,,,,,"I actually haven't learned this for like a year or two"
00:10:11.896,00:10:14.620,00:00:02.724,,,,,"so just refresh me on it"
00:10:14.623,00:10:14.983,00:00:00.360,,,,"ok",
00:10:14.670,00:10:16.603,00:00:01.933,,,,,"I kind of remember but"
00:10:17.392,00:10:21.495,00:00:04.103,,,,"so pause filler basically it's like multiplying normally except",
00:10:21.574,00:10:27.621,00:00:06.047,,,,"you want to multiply the forty times seven and the one times three",
00:10:28.149,00:10:30.384,00:00:02.235,,,,,"okay okay yeah yeah"
00:10:29.333,00:10:29.723,00:00:00.390,,,,"so",
00:10:30.384,00:10:32.639,00:00:02.255,,,,"you just multiply straight across so you get",
00:10:33.248,00:10:34.166,00:00:00.918,,,,,"two hundred eighty"
00:10:34.804,00:10:35.223,00:00:00.419,,,,"yeah",
00:10:38.725,00:10:42.277,00:00:03.552,,,,,"over three right"
00:10:42.277,00:10:45.729,00:00:03.452,,,,,"and then does that pause filler does that simplify"
00:10:42.298,00:10:42.638,00:00:00.340,,,,"yeah",
00:10:46.737,00:10:48.116,00:00:01.379,,,,"pause filler no",
00:10:49.696,00:10:50.696,00:00:01.000,,,,,"all right"
00:10:57.110,00:10:59.190,00:00:02.080,,,,"I guess you could just say that",
00:10:59.204,00:11:00.820,00:00:01.616,,,,"because it would be okay",
00:11:00.724,00:11:01.024,00:00:00.300,,,,,"yeah"
00:11:00.820,00:11:04.039,00:00:03.219,,,,"because you know you probably know (inaudible) okay",
00:11:05.941,00:11:06.311,00:00:00.370,,,,"ah",
00:11:06.333,00:11:07.570,00:00:01.237,,,,,"all right next up"
00:11:07.570,00:11:11.940,00:00:04.370,,,,,"so now do you want to multiply from the reciprocal again"
00:11:12.080,00:11:13.147,00:00:01.067,,,,,"so fourteen"
00:11:13.496,00:11:13.885,00:00:00.389,,,,"yeah",
00:11:15.592,00:11:20.201,00:00:04.609,,,,,"time eight over three"
00:11:21.778,00:11:24.910,00:00:03.132,,,,,"and then that's over one so fourteen times eight"
00:11:26.188,00:11:27.894,00:00:01.706,,,,,"oh gosh what is fourteen times eight"
00:11:28.283,00:11:30.927,00:00:02.644,,,,"see pause filler seven time eight is fifty-six",
00:11:30.927,00:11:33.890,00:00:02.963,,,,"fifty-six times two a hundred and twelve",
00:11:34.429,00:11:36.205,00:00:01.776,,,,,"all right thank you"
00:11:36.893,00:11:38.949,00:00:02.056,,,,,"over three"
00:11:39.607,00:11:39.966,00:00:00.359,,,,"yeah",
00:11:40.484,00:11:42.261,00:00:01.777,,,,,"all right so next up"
00:11:44.326,00:11:45.683,00:00:01.357,,,,,"okay so"
00:11:47.918,00:11:53.625,00:00:05.707,,,,"okay yeah for this one this one you just have you're adding an extra step to it",
00:11:53.625,00:11:57.137,00:00:03.512,,,,"so the first thing want to do is make sure y is alone on this",
00:11:58.354,00:12:05.857,00:00:07.503,,,,,"all right so you're adding eighteen to both sides"
00:12:06.775,00:12:10.355,00:00:03.580,,,,,"so that will equal seventy right"
00:12:11.554,00:12:11.784,00:00:00.230,,,,"pause filler yeah",
00:12:13.500,00:12:22.766,00:00:09.266,,,,,"so seventy negative two thirds y sorry my writing is so messy equals seventy"
00:12:27.229,00:12:38.124,00:00:10.895,,,,,"so you want to do seventy times wait three"
